lon,lat,v17_reach_id,v16_reach_id,boundary_flag,boundary_percent,dominant reach,v16 number of reaches
-96.03227508806586,57.124438605841505,71181300091,71181300101,0,0,0,0
-97.30617709421186,57.29981394729034,71181300213,71181300263,0,0,0,0
-98.75828074291404,56.999084594478155,71181300391,71181300481,0,0,0,0
-98.47191877788946,57.17358523894323,71181300343,71181300493,0,0,0,0
-98.51251103359668,57.15225596687801,71181300351,71181300501,0,0,0,0
-98.63157755438195,57.084613200160064,71181300363,71181300513,0,0,0,0
-98.74011418337639,57.01344134997601,71181300371,71181300521,0,0,0,0
-98.77936245843118,56.937540281988966,71181300403,71181300533,0,0,0,0
-98.15718653799968,57.658972049004305,71181300543,71181300543,0,0,0,0
-98.28959250628614,57.626882058565755,71181300533,71181300553,0,0,0,0
-98.35571914864956,57.24776478008634,71181300333,71181300563,0,0,0,0
-98.75631765022293,57.00797446960707,71181300381,71181300671,0,0,0,0
-97.52818757157482,57.310278516779505,71181300743,71181300683,0,0,0,0
-97.48511463845139,57.178288851533026,71181300721,71181300691,0,0,0,0
-97.49958660047726,57.24077950721902,71181300713,71181300703,0,0,0,0
-97.22222180162883,57.37179541095871,71181300773,71181300713,0,0,0,0
-97.21901174851013,57.3939359295356,71181300781,71181300721,0,0,0,0
-97.23894691256928,57.410208785623524,71181300793,71181300733,0,0,0,0
-96.24568641011001,57.13702349881843,71181300123,71181300743,0,0,0,0
-96.33052841330051,57.14717157279919,71181300131,71181300751,0,0,0,0
-96.45901548458755,57.18759692355913,71181300141,71181300761,0,0,0,0
-96.58149760827384,57.16474472812442,71181300151,71181300771,0,0,0,0
-96.7337529090166,57.21231224798576,71181300161,71181300781,0,0,0,0
-96.90164657137284,57.22515076570286,71181300173,71181300793,0,0,0,0
-96.99541112580945,57.258947876316,71181300183,71181300803,0,0,0,0
-97.0290966365498,57.333861361038196,71181300193,71181300813,0,0,0,0
-97.15229595397116,57.32194889556953,71181300203,71181300823,0,0,0,0
-97.24023058952609,57.331618462331974,71181300763,71181300833,0,0,0,0
-96.23719105165588,57.13697987739038,71181300113,71181300841,0,0,0,0
-96.15186234480433,57.14528503545593,71181300103,71181300853,0,0,0,0
-97.53537108976124,57.392802444868956,71181300253,71181300893,0,0,0,0
-97.54864117436824,57.3789000925012,71181300683,71181300903,0,0,0,0
-97.59981174858238,57.34953551676959,71181300691,71181300911,0,0,0,0
-97.56736974707364,57.30512476330763,71181300703,71181300923,0,0,0,0
-97.66193946245305,57.40446725976773,71181300263,71181300933,0,0,0,0
-97.81314230538185,57.39551848274643,71181300271,71181300941,0,0,0,0
-97.93747161915996,57.360175604407885,71181300283,71181300953,0,0,0,0
-98.0346169184193,57.37899794241102,71181300291,71181300961,0,0,0,0
-98.07284843491595,57.37064406942504,71181300303,71181300973,0,0,0,0
-98.12044805042129,57.35448872259596,71181300311,71181300981,0,0,0,0
-98.22472650344596,57.351329240665386,71181300323,71181300993,0,0,0,0
-98.37115056261494,57.37625221211667,71181300503,71181301013,0,0,0,0
-98.45165156271328,57.46300309045259,71181300513,71181301023,0,0,0,0
-98.50551194980608,57.497451779766024,71181300623,71181301033,0,0,0,0
-98.5749634188847,57.55219305447277,71181300633,71181301043,0,0,0,0
-97.43033680856618,57.35373059085142,71181300223,71181301053,0,0,0,0
-97.43813878254225,57.3724515860234,71181300233,71181301063,0,0,0,0
-97.47688098591172,57.3982481407217,71181300243,71181301073,0,0,0,0
-98.56483544259841,57.47876435526706,71181300663,71181301083,0,0,0,0
-98.57173058476104,57.613442811603015,71181300643,71181301093,0,0,0,0
-98.36068389827228,57.53473017933463,71181300523,71181301103,0,0,0,0
-98.2282278986917,57.59163413454853,71181300603,71181301113,0,0,0,0
-98.51798609685576,57.19608937367496,71181300493,71181301123,0,0,0,0
-98.62824677811402,57.25874078294356,71181300463,71181301133,0,0,0,0
-98.76576795226387,57.26398141314046,71181300473,71181301143,0,0,0,0
-98.76769051300323,57.00605565318111,71181300563,71181301153,0,0,0,0
-98.78795606296353,57.00347663944465,71181300571,71181301161,0,0,0,0
-98.8534599359542,56.98857977351423,71181300583,71181301173,0,0,0,0
-98.76195329787545,57.01226268135603,71181300411,71181301181,0,0,0,0
