reach_id,v16_reach_id,river,dist_out_km,type,facc
81320200226,81320200206,Squirrel,207.4480928245203,6,641.884936655763
81320200211,81320200111,Squirrel,207.24823699327249,1,716.343590988807
81320200201,81320200101,Squirrel,189.7455231385111,1,795.691650390625
81320200051,81320200051,Squirrel,171.21839346352598,1,2855.4075
81320200041,81320200041,Squirrel,160.59232300592947,1,3189.2168
81320200031,81320200031,Squirrel,149.9234420836688,1,3799.494
81320200021,81320200021,Squirrel,130.13432858627723,1,4181.4292
81320200011,81320200011,Squirrel,117.42830857115624,1,4711.8379
81350100406,81350100456,Wulik,88.61560350052582,6,491.09585238835
81350100391,81350100321,Wulik,88.41499082072029,1,546.9391421525838
81350100381,81350100311,Wulik,75.55248728066563,1,1696.739990234375
81350100371,81350100301,Wulik,65.14097509722355,1,1802.7402591248647
81350100361,81350100291,Wulik,53.49897469857532,1,1898.8223742010396
81350100351,81350100281,Wulik,43.331713798792826,1,1994.2846046638197
81350100341,81350100271,Wulik,33.190504377410655,1,2120.4311234896363
81350100331,81350100261,Wulik,19.54031914561574,1,2303.297084441066
81350100326,81350100446,Wulik,0.16397694735218277,6,2305.15673828125
