node_id,wse_ref_raw,wse_mad,width_med,n_obs,dist_out_km,river,wse_ref
81340100050151,1.39696,0.6573600000000002,692.572549,103,66.33859284294867,Noatak,1.4322249999999999
81340100050161,1.4301249999999999,0.6464400000000001,675.506623,102,66.53675706802855,Noatak,1.4322249999999999
81340100050171,1.441645,0.6288199999999999,612.7284374999999,102,66.73492134996089,Noatak,1.43633
81340100050181,1.43633,0.6262199999999998,729.056015,101,66.91988386734904,Noatak,1.441645
81340100050191,1.689015,0.63555,614.901032,102,67.11085973273967,Noatak,1.57641
81340100050201,1.8458649999999999,0.6507249999999999,580.4711165,84,67.3230552025155,Noatak,1.616545
81340100050211,1.981155,0.74778,570.5351745,84,67.52179452678364,Noatak,1.64077
81340100050221,1.69404,0.637925,546.296687,104,67.71674918719086,Noatak,1.64077
81340100050231,1.57641,0.5932600000000001,444.93465349999997,100,67.92137540514261,Noatak,1.642785
81340100050241,1.64077,0.65588,514.655104,103,68.11807457007669,Noatak,1.642785
81340100050251,1.820225,0.6445649999999999,568.8496265,96,68.31209828934436,Noatak,1.66937
81340100050261,1.940555,0.6731750000000001,459.217123,64,68.51271145962056,Noatak,1.66937
81340100050271,1.687125,0.5539550000000001,514.0087775000001,90,68.70635570425124,Noatak,1.66937
81340100050281,1.642785,0.6073500000000001,452.16391899999996,94,68.90755649067707,Noatak,1.66937
81340100050291,1.616545,0.6257600000000001,457.28990999999996,98,69.11706413251122,Noatak,1.687125
81340100050301,1.739045,0.6192099999999999,528.622301,96,69.30419277021917,Noatak,1.689015
81340100050311,1.735675,0.594605,506.7771085,100,69.49399701406963,Noatak,1.69019
81340100050321,1.74499,0.5519500000000002,580.816061,99,69.70263726112493,Noatak,1.69404
81340100050331,1.85454,0.6273399999999998,801.683181,99,69.89377940824573,Noatak,1.69404
81340100050341,1.62697,0.5665900000000001,588.999327,105,70.08835570987661,Noatak,1.69404
81340100050351,1.66937,0.5512499999999998,700.934236,105,70.28598688256999,Noatak,1.70347
81340100050361,1.596605,0.5902949999999999,486.30125499999997,104,70.48705221372612,Noatak,1.70737
81340100050371,1.70737,0.6356799999999998,616.770406,105,70.68506279691665,Noatak,1.72442
81340100050381,1.60414,0.6009800000000001,467.269994,107,70.87792233334972,Noatak,1.72442
81340100050391,1.62241,0.610985,492.8339515,110,71.08426683602899,Noatak,1.70737
81340100050401,1.61558,0.5930900000000001,481.4296465,104,71.2782916521708,Noatak,1.72442
