reach_id,x,y,x_min,x_max,y_min,y_max,reach_length,n_nodes,wse,width,slope,facc,dist_out,type,lakeflag,swot_obs,n_chan_max,n_chan_mod,max_width,low_slope_flag,stream_order,main_path_id,is_mainstem,path_order,end_reach,n_rch_up,n_rch_down,river_name,river,dist_out_km
81320100025,-160.99529037074655,66.84293751345015,-161.05988581352898,-160.9266211771584,66.81714277911098,66.86070552292593,12420.640950532708,62,0.0,331.0,0.0,23339.6936,69970.54957168501,5,3,4,3,1,3153.0,0,4,7000490,1,49,3,1,2,NODATA,Kobuk,69.97054957168501
81320100175,-161.08159536448935,66.78893339829519,-161.1086190864191,-161.05968714316248,66.76581139430573,66.81686494341719,10176.988599680966,51,0.0,254.0,0.0,15161.847,40773.59079099205,5,3,4,1,1,1368.0,0,4,7000490,1,29,0,1,1,NODATA,Kobuk,40.77359079099205
81320100165,-161.08054907254785,66.7525811696884,-161.13849955879098,-161.03679048601762,66.745782310075,66.76558727649503,10219.360864138493,51,0.0,277.0,0.0,15161.847,30596.60219131521,5,3,4,1,1,1724.0,0,4,7000490,1,22,0,1,1,NODATA,Kobuk,30.59660219131521
81320100155,-161.17755139011277,66.71759718996454,-161.24691326972513,-161.1230028333652,66.68986094537766,66.7471674401559,10182.715810947337,51,0.0,284.0,0.004513447700808906,15161.847,20377.241327163567,5,3,4,1,1,1218.0,0,4,7000490,1,13,0,1,1,NODATA,Kobuk,20.377241327163567
81320100145,-161.29519336963793,66.6532698297611,-161.33852736061522,-161.24757256214934,66.61426037239865,66.68963612038222,10005.395651656736,50,0.0,331.0,0.0,15161.847,10194.525516208916,5,3,4,2,1,1824.0,0,4,7000490,1,3,0,1,1,NODATA,Kobuk,10.194525516208916
81330000156,-161.3390350338468,66.6131746823728,-161.33952566869183,-161.33856975919488,66.61235990999748,66.61398945416265,189.1298645501592,1,0.0,318.0,0.0,15161.847,189.12986455027274,6,3,3,3,2,30.0,0,-9999,7000490,0,-9999,2,1,0,NODATA,Kobuk,0.18912986455027275
81340900186,-155.2594926176973,67.61555701393263,-155.2613161277487,-155.25766572698353,67.61491828709522,67.61615987859831,208.18417872815638,1,552.0249938964844,42.0,6.575865846751343,741.8520571209506,694701.862341004,6,0,5,1,1,228.0,0,-9999,7000142,0,-9999,1,0,1,Noatak River,Noatak,694.7018623410039
81340900171,-155.32745520248304,67.64641348944498,-155.41425204420412,-155.2620421316377,67.61636516568403,67.66427040278698,16400.480399253374,82,545.4000244140625,42.0,0.4286721869365506,952.5666147142709,694493.6781622759,1,0,5,2,1,296.0,0,1,7000142,1,10137,0,1,1,Noatak River,Noatak,694.493678162276
81340900161,-155.53115718869304,67.6727892463341,-155.66345940715897,-155.41315424104675,67.65687625390778,67.68676637583559,15848.57244352969,79,537.4000244140625,51.0,0.4407744027946756,2037.2362,678093.1977630173,1,0,5,1,1,360.0,0,1,7000142,1,10068,0,1,1,Noatak River,Noatak,678.0931977630173
81340900151,-155.82524639855976,67.69769856265737,-155.9998891989665,-155.66347150777213,67.68686760233942,67.70711328233936,19176.702641723914,96,524.4000244140625,63.0,0.7798502883816443,2037.2362,662244.6253194895,1,0,5,5,1,690.0,0,1,7000142,1,9988,0,1,1,Noatak River,Noatak,662.2446253194895
81340900141,-156.04992587048991,67.69991109774098,-156.11824819202613,-156.00038088803217,67.68862668216215,67.7126880467799,10378.176132389712,52,514.7000122070312,63.0,0.09575896940529428,2982.58470479874,643067.9226777661,1,0,6,2,1,690.0,0,1,7000142,1,9895,0,1,1,Noatak River,Noatak,643.0679226777661
81340900131,-156.20391357468054,67.71443770485196,-156.24128142340504,-156.1164118455977,67.70126663879063,67.7399515938677,10316.357237710641,52,504.5,54.0,1.8637002632691084,3112.8022390234205,632689.7465453814,1,0,5,1,1,300.0,0,1,7000142,1,9839,0,1,1,Noatak River,Noatak,632.6897465453814
81340900121,-156.28208698961154,67.77737812655188,-156.3067915788499,-156.24073664110716,67.74022037034011,67.81860492523462,11305.39317687879,57,489.5,63.0,1.311007588672288,3253.7678871841063,622373.3893076696,1,0,5,2,1,531.0,0,1,7000142,1,9775,0,1,1,Noatak River,Noatak,622.3733893076696
81340900111,-156.38581424330377,67.83277456449188,-156.4436076885499,-156.30750284294754,67.81574183578832,67.85009776082933,11270.83033854924,56,476.75,67.0,0.8500927593454061,3393.493368352176,611067.9961307971,1,0,6,3,1,577.0,0,1,7000142,1,9700,0,1,1,Noatak River,Noatak,611.067996130797
81340900101,-156.53470311907228,67.85215817674548,-156.62214055275746,-156.44434337499598,67.83980912586041,67.8627675227492,17738.668365757232,89,470.1000061035156,63.0,0.47891935857087786,3618.3769830132114,599797.1657922586,1,0,6,1,1,360.0,0,1,7000142,1,9629,0,1,1,Noatak River,Noatak,599.7971657922586
81340900091,-156.70809765234918,67.86153658834547,-156.83663206658514,-156.61408997709523,67.84283346895536,67.88613563425504,17014.948346147314,85,447.6000061035156,63.0,2.249850450839601,3832.512483738242,582058.4974264977,1,0,5,2,1,180.0,0,1,7000142,1,9510,0,1,1,Noatak River,Noatak,582.0584974264978
81340900081,-156.9340743490731,67.88640452464887,-157.00541303255136,-156.82912478237594,67.87953947591102,67.90981474905873,12954.321779576765,65,424.70001220703125,67.0,1.5559272281253274,3992.080636788168,565043.549080347,1,0,6,2,1,180.0,0,1,7000142,1,9397,0,1,1,Noatak River,Noatak,565.0435490803469
81340900071,-157.13985977758063,67.91860549631451,-157.21501621069842,-157.00611349197874,67.9019268686211,67.94120202450426,14397.975245173051,72,403.1499938964844,67.0,0.7892468259687088,4173.971795705182,552089.227300786,1,0,5,3,1,390.0,0,1,7000142,1,9281,0,1,1,Noatak River,Noatak,552.089227300786
81340900061,-157.27209487143392,67.91163735185799,-157.35752592455177,-157.2157434919317,67.9003920583615,67.92288024681622,10189.896476389666,51,393.1000061035156,75.0,0.6453044201230171,4299.642050956937,537691.2520556082,1,0,4,1,1,300.0,0,1,7000142,1,9163,0,1,1,Noatak River,Noatak,537.6912520556082
81340900051,-157.39532498203576,67.89942046991284,-157.43249187172992,-157.35824050892575,67.8839314007118,67.91174076709761,10170.068648357916,51,392.70001220703125,75.0,1.0714116791230672,4427.792640193924,527501.3555792093,1,0,4,2,1,330.0,0,1,7000142,1,9057,0,1,1,Noatak River,Noatak,527.5013555792093
81340900041,-157.50591329262377,67.93489784309186,-157.63909242911024,-157.4307185076951,67.9078354322593,67.97499955571726,18160.077045690457,91,368.3000183105469,126.0,2.211696963027519,4653.503032850037,517331.2869308607,1,0,5,4,1,360.0,0,1,7000142,1,8981,0,1,1,Noatak River,Noatak,517.3312869308608
81340900031,-157.6926650805894,67.98937989881065,-157.7489407644914,-157.6397964550071,67.97522068226509,68.00014015569333,6447.596260286162,32,345.8000183105469,127.0,1.1932235304634327,5082.78369140625,499171.20988517924,1,0,4,2,1,127.0,0,1,7000142,1,8809,0,1,1,Noatak River,Noatak,499.1712098851792
81340900021,-157.77969760835748,68.00397411951117,-157.80983369581708,-157.74859385443207,68.00041462031166,68.00800464482,4006.5225974463883,20,337.3500061035156,94.0,2.3119222073241064,5092.056636487024,492723.61362489266,1,0,5,2,1,30.0,0,1,7000142,1,8760,0,1,1,Noatak River,Noatak,492.72361362489266
81340900011,-157.87018593242047,67.99973029040405,-157.9352691909685,-157.8105484297381,67.98526419462863,68.0108451791418,7980.612967794904,40,325.3999938964844,114.0,1.6993845449182263,5120.02099609375,488717.0910274546,1,0,6,2,1,30.0,0,1,7000142,1,8722,0,1,1,Noatak River,Noatak,488.7170910274546
81340700061,-158.01801404021546,67.94459438133,-158.10817955585753,-157.9359986986377,67.89439714498755,67.98908546273415,17875.101491029396,89,306.75,127.0,1.3533846142045365,7762.744396578881,480736.4780596535,1,0,6,4,1,240.0,0,2,7000142,1,1116,3,2,1,Noatak River,Noatak,480.7364780596535
81340700051,-158.22560664098822,67.86877440696237,-158.34433353792997,-158.1088979750903,67.85585748241523,67.89500524235666,14452.13748561092,72,290.8999938964844,92.0,0.6985037040379527,7946.939453125,462861.376568633,1,0,6,2,1,270.0,0,2,7000142,1,1098,0,1,1,Noatak River,Noatak,462.86137656863303
