river,time,span_km,n_nodes,d_lo,d_hi,length_km
Kobuk,2025-08-28 02:51:28+00:00,193.90378578590617,55,243.0533316115039,276.7326888446538,33.679357233149915
Kobuk,2025-08-31 18:07:44+00:00,173.9188084391846,635,359.8452286711908,506.4358356491457,146.5906069779549
Kobuk,2025-08-31 18:07:44+00:00,173.9188084391846,42,506.84245576303294,515.0830235089463,8.240567745913381
Kobuk,2025-08-31 18:07:44+00:00,173.9188084391846,51,515.4742893965989,525.5053591452565,10.031069748657615
Kobuk,2025-08-31 18:07:44+00:00,173.9188084391846,36,525.9183033916928,533.1416407247945,7.223337333101654
Kobuk,2025-09-01 18:08:22+00:00,243.90045030980738,618,178.8781139590777,422.1719014797498,243.2937875206721
Kobuk,2025-09-02 18:08:58+00:00,161.02492329424007,68,84.25589505126538,100.00853551639925,15.752640465133865
Kobuk,2025-09-02 18:08:58+00:00,161.02492329424007,23,100.77907639902223,105.21105725390925,4.431980854887016
Kobuk,2025-09-02 18:08:58+00:00,161.02492329424007,526,107.64317593871284,243.85382635298768,136.21065041427482
Kobuk,2025-09-06 01:13:13+00:00,213.019494862695,935,320.7445422476804,533.3463513757512,212.60180912807078
Kobuk,2025-09-07 01:13:47+00:00,298.1935501880532,317,117.39515465401396,185.0483702551497,67.65321560113574
Kobuk,2025-09-07 01:13:47+00:00,298.1935501880532,742,239.25962901110975,410.59387101034014,171.3342419992304
Kobuk,2025-09-07 01:13:47+00:00,298.1935501880532,22,410.9792479979781,415.58870484206716,4.609456844089038
Kobuk,2025-09-11 16:30:33+00:00,249.09300368200212,88,251.1034583191754,273.1258017000128,22.022343380837412
Kobuk,2025-09-11 16:30:33+00:00,249.09300368200212,304,273.5397465673276,336.5214817148105,62.98173514748288
Kobuk,2025-09-11 16:30:33+00:00,249.09300368200212,105,337.12190659151526,409.590636652217,72.46873006070172
Kobuk,2025-09-11 16:30:33+00:00,249.09300368200212,140,411.783629703301,442.6262437293974,30.842614026096385
Kobuk,2025-09-11 16:30:33+00:00,249.09300368200212,78,443.0290547728822,458.14241265264235,15.113357879760144
Kobuk,2025-09-11 16:30:33+00:00,249.09300368200212,116,458.5400268587459,481.5881250884724,23.04809822972652
Kobuk,2025-09-11 16:30:33+00:00,249.09300368200212,63,481.9693759526718,494.7647979637844,12.795422011112635
Kobuk,2025-09-11 16:30:33+00:00,249.09300368200212,13,497.58179307856415,500.0004587016901,2.4186656231259462
Kobuk,2025-09-12 16:31:09+00:00,254.46786291790232,11,85.63911321382587,88.95730097165165,3.3181877578257826
Kobuk,2025-09-12 16:31:09+00:00,254.46786291790232,20,92.65302306808502,97.26528820581271,4.6122651377276895
Kobuk,2025-09-12 16:31:09+00:00,254.46786291790232,10,98.06885363713323,100.4069142995366,2.3380606624033646
Kobuk,2025-09-12 16:31:09+00:00,254.46786291790232,52,108.25082305995532,120.98597476734646,12.73515170739114
