river,shift_km,dt_hr,celerity_ms,corr,n_common,time
Kobuk,19.5,24.010277777777777,0.2255978342607911,0.8609411410525394,126,2024-10-01 22:06:30+00:00
Kobuk,18.0,24.00861111111111,0.2082586109150652,0.8752229994596485,108,2025-05-25 17:28:22+00:00
Kobuk,-5.5,24.010277777777777,0.06363015838124877,0.6435405722624232,177,2025-05-30 08:45:09+00:00
Kobuk,-16.5,24.009166666666665,0.19089930929159002,0.6218361647753835,168,2025-05-31 08:45:46+00:00
Kobuk,1.0,24.00888888888889,0.01156978896704924,0.8657667916940402,127,2025-06-10 07:08:02+00:00
Kobuk,29.0,24.01,0.33550835300106435,0.7066768990357457,176,2025-06-20 05:30:13+00:00
Kobuk,-2.0,24.00861111111111,0.023139845657229468,0.8498386025325613,173,2025-07-16 09:20:47+00:00
Kobuk,3.0,24.01,0.03470776065528252,0.8220787100280998,125,2025-07-21 00:37:36+00:00
Kobuk,-2.5,24.00861111111111,0.028924807071536832,0.7927376827579758,190,2025-07-26 07:43:06+00:00
Kobuk,9.5,24.00861111111111,0.10991426687183996,0.642789901455351,109,2025-07-27 07:43:37+00:00
Kobuk,6.5,24.009722222222223,0.07520101810609128,0.7942124382963746,178,2025-07-31 23:00:26+00:00
Kobuk,-3.5,24.008333333333333,0.04049519842647229,0.7137352831771664,166,2025-08-27 02:50:57+00:00
Kobuk,-25.0,24.010277777777777,0.28922799264203986,0.6116800988251606,178,2025-10-02 13:15:37+00:00
Kobuk,-1.0,24.00861111111111,0.011569922828614734,0.7967182119739025,168,2026-05-25 08:36:57+00:00
Kobuk,-1.0,24.009166666666665,0.011569655108581213,0.8952476578492512,170,2026-06-10 22:17:10+00:00
Kobuk,9.5,24.010277777777777,0.10990663720397514,0.7094439064805682,126,2026-06-19 20:38:49+00:00
Kobuk,-1.0,24.01,0.01156925355176084,0.8716831214638092,176,2026-06-30 19:01:40+00:00
Kobuk,1.5,24.009166666666665,0.01735448266287182,0.8636007281328747,176,2026-07-21 15:46:44+00:00
Kobuk,-2.0,24.009444444444444,0.023139042506421084,0.7420371359320239,169,2026-07-22 15:47:17+00:00
Kobuk,12.5,24.009166666666665,0.14462068885726517,0.6338524004895214,168,2026-08-11 12:31:50+00:00
Kobuk,-1.5,24.008055555555554,0.01735528584155781,0.8684821444412577,130,2026-09-12 07:39:45+00:00
Noatak,-5.0,23.843888888888888,0.05824926023439502,0.6381228759721433,301,2023-06-05 01:48:15+00:00
Noatak,-1.0,23.844166666666666,0.011649716329407379,0.7455597191889294,332,2023-06-06 01:38:53+00:00
Noatak,-48.5,23.843611111111112,0.5650244067243729,0.6907796956267211,365,2023-06-14 00:23:56+00:00
Noatak,5.0,23.843888888888888,0.05824926023439502,0.8823076259414003,366,2023-06-18 23:37:05+00:00
Noatak,-1.0,23.843888888888888,0.011649852046879005,0.608819027889061,366,2023-06-22 22:59:37+00:00
Noatak,54.5,23.843888888888888,0.6349169365549058,0.7625034601393024,366,2023-06-29 21:54:02+00:00
Noatak,3.0,23.843888888888888,0.034949556140637016,0.9108833387289761,366,2023-06-30 21:44:40+00:00
Noatak,1.0,23.843888888888888,0.011649852046879005,0.9765431132881491,366,2023-07-01 21:35:18+00:00
Noatak,-6.5,23.843888888888888,0.07572403830471353,0.7201703243409318,366,2023-07-02 21:25:56+00:00
Noatak,8.0,23.843888888888888,0.09319881637503204,0.6729161992713433,366,2023-07-03 21:16:34+00:00
Noatak,-11.0,23.843888888888888,0.12814837251566905,0.6440346925026299,366,2023-07-04 21:07:12+00:00
Noatak,50.5,23.843888888888888,0.5883175283673897,0.7270682309060615,366,2023-07-07 20:39:06+00:00
Noatak,1.0,24.00861111111111,0.011569922828614734,0.6628086215218639,228,2023-07-27 01:24:55+00:00
Noatak,1.0,24.01,0.01156925355176084,0.9441041649567614,139,2023-07-28 01:25:26+00:00
Noatak,-87.0,24.008333333333333,1.0065949323151684,0.7042934966949495,641,2023-08-03 16:44:05+00:00
Noatak,-1.0,24.00777777777778,0.01157032443189707,0.6258228675789984,185,2023-09-03 11:51:26+00:00
Noatak,-2.0,24.009722222222223,0.02313877480187424,0.6208464180993761,221,2023-09-13 10:13:41+00:00
Noatak,2.0,24.009444444444444,0.023139042506421084,0.6778651800651202,220,2023-09-16 17:17:23+00:00
Noatak,-94.5,24.008055555555554,1.0933830080181421,0.7322212233136405,641,2024-06-11 16:00:17+00:00
Noatak,1.0,24.010555555555555,0.011568985862699275,0.7008904127916434,142,2024-06-30 12:44:08+00:00
Noatak,-91.5,24.0075,1.0586969349855948,0.6519129305158419,641,2024-07-02 12:45:19+00:00
Noatak,11.5,24.010277777777777,0.13304487661533834,0.717421894557237,142,2024-07-21 09:29:14+00:00
Noatak,1.0,24.009722222222223,0.01156938740093712,0.6302961892257208,214,2024-07-25 16:33:32+00:00
Noatak,1.0,24.010277777777777,0.011569119705681594,0.8980822969232829,127,2024-07-27 16:34:35+00:00
Noatak,13.0,24.009444444444444,0.15040377629173704,0.9090643007844024,326,2024-08-03 07:53:07+00:00
Noatak,2.5,24.011111111111113,0.02892179546506247,0.9439319207360334,203,2024-08-07 14:57:28+00:00
Noatak,2.5,24.010555555555555,0.02892246465674819,0.7511285829836132,142,2024-08-11 06:14:18+00:00
Noatak,-1.0,24.00777777777778,0.01157032443189707,0.8361927659517867,126,2024-09-27 06:49:23+00:00
Noatak,2.5,24.01,0.0289231338794021,0.9627480530706074,152,2025-06-10 07:08:17+00:00
